orf1	0-53
orf1528-r	33582-33650
orf1529	126750-126773
orf1529-r	33546-33581
orf153	12357-12455
orf153-r	145221-145295
orf1530	126777-126821
orf1530-r	33297-33530
orf1531	126822-127070
orf1531-r	33237-33281
orf1532	127071-127208
orf1532-r	33192-33236
orf1533	127209-127238
orf1533-r	33138-33170
orf1534	127251-127304
orf1534-r	33021-33137
orf1535	127305-127376
orf1535-r	32982-33020
orf1536	127431-127502
orf1536-r	32958-32981
orf1537	127506-127556
orf1537-r	32850-32957
orf1538	127560-127595
orf1538-r	32748-32849
orf1539	127608-127733
orf1539-r	32694-32747
orf154	12456-12476
orf154-r	145098-145217
orf1540	127734-127754
orf1540-r	32454-32663
orf1541	127773-127799
orf1541-r	32355-32453
orf1542	127800-127859
orf1542-r	32262-32354
orf1543	127860-127979
orf1543-r	32151-32234
orf1544	127998-128051
orf1544-r	32040-32117
orf1545	128064-128258
orf1545-r	31962-32039
orf1546	128259-128375
orf1546-r	31926-31961
orf1547	128376-128456
orf1547-r	31857-31925
orf1548	128457-128480
orf1548-r	31836-31856
orf1549	128493-128537
orf1549-r	31797-31826
orf155	12483-12521
orf155-r	145059-145097
orf1550	128538-128675
orf1550-r	31758-31796
orf1551	128682-128786
orf1551-r	31731-31757
orf1552	128787-128822
orf1552-r	31683-31730
orf1553	128823-128891
orf1553-r	31614-31682
orf1554	128898-128924
orf1554-r	31578-31613
orf1555	128925-129071
orf1555-r	31530-31577
orf1556	129102-129131
orf1556-r	31509-31529
orf1557	129132-129266
orf1557-r	31464-31508
orf1558	129267-129386
orf1558-r	31425-31463
orf1559	129402-129599
orf1559-r	31392-31421
orf156	12537-12557
orf156-r	144753-145058
orf1560	129600-129710
orf1560-r	31284-31391
orf1561	129711-129857
orf1561-r	31095-31283
orf1562	129858-129902
orf1562-r	31062-31094
orf1563	129903-130004
orf1563-r	30999-31040
orf1564	130005-130094
orf1564-r	30951-30998
orf1565	130104-130139
orf1565-r	30930-30950
orf1566	130173-130205
orf1566-r	30825-30929
orf1567	130206-130262
orf1567-r	30642-30824
orf1568	130263-130346
orf1568-r	30531-30629
orf1569	130347-130379
orf1569-r	30450-30530
orf157	12561-12719
orf157-r	144690-144752
orf1570	130389-130433
orf1570-r	30273-30449
orf1571	130434-130457
orf1571-r	30192-30272
orf1572	130461-130589
orf1572-r	30117-30191
orf1573	130614-130658
orf1573-r	30045-30092
orf1574	130659-130865
orf1574-r	29994-30044
orf1575	130866-130889
orf1575-r	29706-29993
orf1576	130890-130937
orf1576-r	29673-29705
orf1577	130938-131009
orf1577-r	29637-29672
orf1578	131013-131045
orf1578-r	29583-29618
orf1579	131046-131126
orf1579-r	29529-29573
orf158	12720-12761
orf158-r	144660-144680
orf1580	131136-131174
orf1580-r	29487-29528
orf1581	131175-131204
orf1581-r	29460-29486
orf1582	131205-131231
orf1582-r	29382-29459
orf1583	131232-131252
orf1583-r	29178-29381
orf1584	131265-131291
orf1584-r	29034-29177
orf1585	131292-131402
orf1585-r	28968-29027
orf1586	131403-131423
orf1586-r	28869-28967
orf1587	131436-131465
orf1587-r	28827-28868
orf1588	131466-131525
orf1588-r	28719-28808
orf1589	131526-131687
orf1589-r	28698-28718
orf159	12762-12797
orf159-r	144555-144653
orf1590	131688-131708
orf1590-r	28674-28697
orf1591	131718-131798
orf1591-r	28629-28664
orf1592	131799-131996
orf1592-r	28536-28628
orf1593	132006-132134
orf1593-r	28464-28520
orf1594	132135-132263
orf1594-r	28401-28448
orf1595	132264-132302
orf1595-r	28341-28400
orf1596	132303-132395
orf1596-r	28179-28340
orf1597	132396-132446
orf1597-r	28137-28178
orf1598	132477-132557
orf1598-r	28107-28136
orf1599	132576-132734
orf1599-r	28053-28106
orf16	1017-1043
orf16-r	155487-155507
orf160	12798-13019
orf160-r	144468-144554
orf1600	132735-132905
orf1600-r	27981-28004
orf1601	132906-133016
orf1601-r	27930-27980
orf1602	133017-133067
orf1602-r	27900-27929
orf1603	133068-133244
orf1603-r	27870-27890
orf1604	133260-133286
orf1604-r	27837-27857
orf1605	133287-133376
orf1605-r	27804-27836
orf1606	133377-133418
orf1606-r	27780-27803
orf1607	133419-133568
orf1607-r	27672-27779
orf1608	133569-133646
orf1608-r	27618-27671
orf1609	133647-133832
orf1609-r	27570-27617
orf161	13020-13214
orf161-r	144357-144467
orf1610	133833-133940
orf1610-r	27504-27554
orf1611	133941-134030
orf1611-r	27459-27503
orf1612	134046-134282
orf1612-r	27381-27458
orf1613	134283-134489
orf1613-r	27285-27359
orf1614	134490-134516
orf1614-r	27216-27284
orf1615	134517-134645
orf1615-r	27168-27215
orf1616	134646-134810
orf1616-r	27090-27167
orf1617	134811-134840
orf1617-r	27021-27080
orf1618	134841-135071
orf1618-r	26973-26996
orf1619	135072-135146
orf1619-r	26919-26951
orf162	13215-13253
orf162-r	144297-144356
orf1620	135150-135491
orf1620-r	26859-26918
orf1621	135492-135542
orf1621-r	26823-26858
orf1622	135543-135584
orf1622-r	26739-26822
orf1623	135585-135662
orf1623-r	26535-26732
orf1624	135681-135737
orf1624-r	26460-26522
orf1625	135738-135950
orf1625-r	26424-26456
orf1626	135951-135980
orf1626-r	26388-26408
orf1627	135981-136187
orf1627-r	26361-26387
orf1628	136188-136265
orf1628-r	26298-26324
orf1629	136266-136310
orf1629-r	26193-26276
orf163	13254-13331
orf163-r	144246-144296
orf1630	136317-136565
orf1630-r	26172-26192
orf1631	136566-136649
orf1631-r	26133-26171
orf1632	136650-136865
orf1632-r	25986-26132
orf1633	136875-136916
orf1633-r	25920-25985
orf1634	136917-136943
orf1634-r	25887-25916
orf1635	136944-136967
orf1635-r	25818-25886
orf1636	136968-137093
orf1636-r	25779-25802
orf1637	137094-137207
orf1637-r	25686-25775
orf1638	137208-137255
orf1638-r	25638-25673
orf1639	137268-137375
orf1639-r	25590-25637
orf164	13332-13367
orf164-r	144210-144245
orf1640	137388-137498
orf1640-r	25497-25589
orf1641	137499-137552
orf1641-r	25473-25496
orf1642	137553-137609
orf1642-r	25368-25472
orf1643	137610-137771
orf1643-r	25311-25367
orf1644	137775-137849
orf1644-r	25263-25310
orf1645	137850-137870
orf1645-r	25188-25262
orf1646	137871-137921
orf1646-r	25134-25187
orf1647	137922-137987
orf1647-r	25041-25124
orf1648	137988-138020
orf1648-r	24990-25031
orf1649	138021-138053
orf1649-r	24867-24983
orf165	13368-13439
orf165-r	144135-144203
orf1650	138054-138107
orf1650-r	24798-24866
orf1651	138108-138188
orf1651-r	24768-24794
orf1652	138189-138254
orf1652-r	24636-24767
orf1653	138267-138374
orf1653-r	24609-24635
orf1654	138375-138602
orf1654-r	24519-24608
orf1655	138603-138659
orf1655-r	24405-24509
orf1656	138696-138860
orf1656-r	24333-24368
orf1657	138873-138914
orf1657-r	24288-24332
orf1658	138915-139016
orf1658-r	24186-24287
orf1659	139017-139100
orf1659-r	24138-24185
orf166	13449-13475
orf166-r	144081-144104
orf1660	139101-139364
orf1660-r	24048-24137
orf1661	139389-139487
orf1661-r	24015-24047
orf1662	139488-139538
orf1662-r	23970-24008
orf1663	139539-139619
orf1663-r	23928-23951
orf1664	139620-139640
orf1664-r	23862-23900
orf1665	139665-139784
orf1665-r	23805-23861
orf1666	139785-139826
orf1666-r	23760-23804
orf1667	139827-139949
orf1667-r	23700-23732
orf1668	139950-140309
orf1668-r	23655-23681
orf1669	140310-140375
orf1669-r	23622-23654
orf167	13506-13733
orf167-r	144000-144065
orf1670	140376-140426
orf1670-r	23598-23621
orf1671	140427-140471
orf1671-r	23544-23597
orf1672	140481-140552
orf1672-r	23484-23537
orf1673	140559-140612
orf1673-r	23382-23483
orf1674	140619-140795
orf1674-r	23316-23366
orf1675	140796-140894
orf1675-r	23229-23309
orf1676	140898-140957
orf1676-r	22731-23189
orf1677	140958-141014
orf1677-r	22695-22730
orf1678	141015-141035
orf1678-r	22623-22691
orf1679	141036-141080
orf1679-r	22554-22622
orf168	13734-13760
orf168-r	143973-143999
orf1680	141081-141128
orf1680-r	22533-22553
orf1681	141195-141365
orf1681-r	22371-22532
orf1682	141366-141644
orf1682-r	22326-22370
orf1683	141645-141716
orf1683-r	22215-22325
orf1684	141717-141992
orf1684-r	22185-22214
orf1685	141993-142061
orf1685-r	22068-22151
orf1686	142062-142097
orf1686-r	22032-22058
orf1687	142098-142124
orf1687-r	21978-22031
orf1688	142125-142331
orf1688-r	21924-21977
orf1689	142332-142358
orf1689-r	21870-21923
orf169	13791-13865
orf169-r	143883-143972
orf1690	142359-142406
orf1690-r	21783-21869
orf1691	142407-142472
orf1691-r	21750-21782
orf1692	142506-142538
orf1692-r	21687-21719
orf1693	142539-142580
orf1693-r	21567-21668
orf1694	142581-142625
orf1694-r	21546-21566
orf1695	142641-142739
orf1695-r	21483-21533
orf1696	142755-142868
orf1696-r	21414-21482
orf1697	142869-142913
orf1697-r	21375-21410
orf1698	142920-143003
orf1698-r	21342-21371
orf1699	143004-143051
orf1699-r	21318-21341
orf17	1044-1163
orf17-r	155436-155486
orf170	13866-13907
orf170-r	143859-143882
orf1700	143052-143105
orf1700-r	21159-21302
orf1701	143106-143162
orf1701-r	21063-21137
orf1702	143190-143252
orf1702-r	20973-21044
orf1703	143265-143300
orf1703-r	20763-20951
orf1704	143301-143396
orf1704-r	20727-20747
orf1705	143397-143426
orf1705-r	20661-20702
orf1706	143427-143450
orf1706-r	20619-20660
orf1707	143463-143495
orf1707-r	20544-20618
orf1708	143511-143690
orf1708-r	20523-20543
orf1709	143694-143762
orf1709-r	20370-20522
orf171	13920-13964
orf171-r	143772-143846
orf1710	143763-143963
orf1710-r	16050-20369
orf1711	143964-143987
orf1711-r	16008-16049
orf1712	143988-144062
orf1712-r	15891-15968
orf1713	144063-144116
orf1713-r	15792-15890
orf1714	144117-144176
orf1714-r	15747-15776
orf1715	144177-144317
orf1715-r	15720-15746
orf1716	144321-144347
orf1716-r	15690-15719
orf1717	144351-144422
orf1717-r	15630-15677
orf1718	144423-144446
orf1718-r	15576-15629
orf1719	144447-144500
orf1719-r	15516-15572
orf172	13965-14099
orf172-r	143703-143744
orf1720	144501-144569
orf1720-r	15462-15515
orf1721	144570-144653
orf1721-r	15240-15461
orf1722	144669-144707
orf1722-r	15210-15239
orf1723	144708-144752
orf1723-r	15186-15209
orf1724	144765-144800
orf1724-r	15138-15173
orf1725	144804-144830
orf1725-r	15057-15137
orf1726	144837-144962
orf1726-r	15000-15056
orf1727	144981-145052
orf1727-r	14160-14951
orf1728	145053-145091
orf1728-r	14115-14159
orf1729	145113-145133
orf1729-r	13992-14114
orf173	14100-14132
orf173-r	143622-143699
orf1730	145134-145169
orf1730-r	13959-13991
orf1731	145170-145199
orf1731-r	13860-13958
orf1732	145215-145241
orf1732-r	13839-13859
orf1733	145242-145286
orf1733-r	13761-13832
orf1734	145287-145319
orf1734-r	13416-13694
orf1735	145341-145373
orf1735-r	13392-13415
orf1736	145374-145412
orf1736-r	13356-13379
orf1737	145413-145496
orf1737-r	13269-13355
orf1738	145497-145580
orf1738-r	13128-13268
orf1739	145581-145640
orf1739-r	13050-13127
orf174	14133-14159
orf174-r	143601-143621
orf1740	145659-145697
orf1740-r	12996-13043
orf1741	145698-145724
orf1741-r	12855-12995
orf1742	145740-145808
orf1742-r	12669-12854
orf1743	145809-145955
orf1743-r	12606-12668
orf1744	145968-146174
orf1744-r	12576-12596
orf1745	146175-146204
orf1745-r	12468-12575
orf1746	146208-146267
orf1746-r	12435-12467
orf1747	146268-146303
orf1747-r	12399-12434
orf1748	146304-146354
orf1748-r	12288-12398
orf1749	146355-146441
orf1749-r	12267-12287
orf175	14160-14204
orf175-r	143523-143573
orf1750	146454-146606
orf1750-r	12147-12266
orf1751	146619-146729
orf1751-r	12057-12137
orf1752	146733-146807
orf1752-r	11982-12056
orf1753	146808-146837
orf1753-r	11901-11951
orf1754	146838-146858
orf1754-r	11835-11888
orf1755	146859-147071
orf1755-r	11811-11834
orf1756	147072-147119
orf1756-r	11781-11810
orf1757	147138-147158
orf1757-r	11736-11765
orf1758	147159-147212
orf1758-r	11643-11702
orf1759	147240-147260
orf1759-r	11601-11630
orf176	14205-14243
orf176-r	143499-143522
orf1760	147264-147335
orf1760-r	11565-11600
orf1761	147336-147371
orf1761-r	9963-11564
orf1762	147372-147494
orf1762-r	9882-9950
orf1763	147495-147593
orf1763-r	9861-9881
orf1764	147594-147614
orf1764-r	9837-9860
orf1765	147615-147710
orf1765-r	9726-9836
orf1766	147711-147896
orf1766-r	9702-9725
orf1767	147897-148073
orf1767-r	9654-9701
orf1768	148080-148214
orf1768-r	9612-9635
orf1769	148278-148331
orf1769-r	9576-9611
orf177	14244-14276
orf177-r	143454-143483
orf1770	148332-148367
orf1770-r	9540-9575
orf1771	148383-148409
orf1771-r	9492-9539
orf1772	148428-148499
orf1772-r	9405-9491
orf1773	148515-148661
orf1773-r	9297-9395
orf1774	148662-148700
orf1774-r	9009-9296
orf1775	148719-148808
orf1775-r	8916-8975
orf1776	148809-148856
orf1776-r	8889-8915
orf1777	148860-148892
orf1777-r	8811-8888
orf1778	148893-148919
orf1778-r	8748-8810
orf1779	148920-148943
orf1779-r	8721-8747
orf178	14286-14309
orf178-r	143421-143453
orf1780	148944-149006
orf1780-r	8538-8678
orf1781	149007-149033
orf1781-r	8508-8531
orf1782	149034-149087
orf1782-r	8481-8507
orf1783	149088-149423
orf1783-r	8433-8480
orf1784	149472-149492
orf1784-r	8400-8432
orf1785	149508-149645
orf1785-r	8328-8387
orf1786	149646-149705
orf1786-r	8262-8327
orf1787	149706-149735
orf1787-r	8220-8261
orf1788	149736-149771
orf1788-r	8193-8219
orf1789	149772-149999
orf1789-r	8169-8192
orf179	14310-14354
orf179-r	143355-143420
orf1790	150000-150077
orf1790-r	8049-8168
orf1791	150078-150107
orf1791-r	8025-8048
orf1792	150108-150299
orf1792-r	7926-8009
orf1793	150306-150386
orf1793-r	7803-7922
orf1794	150387-150440
orf1794-r	7656-7802
orf1795	150441-150530
orf1795-r	7587-7655
orf1796	150537-150560
orf1796-r	7296-7586
orf1797	150573-150638
orf1797-r	7257-7295
orf1798	150669-150902
orf1798-r	7197-7256
orf1799	150903-150941
orf1799-r	7128-7181
orf18	1164-1220
orf18-r	155397-155435
orf180	14355-14375
orf180-r	143334-143354
orf1800	150942-150971
orf1800-r	7044-7127
orf1801	150972-151034
orf1801-r	6960-7016
orf1802	151035-151220
orf1802-r	6933-6953
orf1803	151221-151244
orf1803-r	6861-6917
orf1804	151245-151265
orf1804-r	6774-6848
orf1805	151266-151295
orf1805-r	6684-6719
orf1806	151296-151445
orf1806-r	6633-6683
orf1807	151446-151499
orf1807-r	6567-6632
orf1808	151518-151589
orf1808-r	6462-6566
orf1809	151590-151682
orf1809-r	6432-6461
orf181	14391-14471
orf181-r	143301-143333
orf1810	151707-151778
orf1810-r	6363-6425
orf1811	151779-151865
orf1811-r	6270-6323
orf1812	151866-151913
orf1812-r	6216-6263
orf1813	151914-151967
orf1813-r	6141-6200
orf1814	151968-152162
orf1814-r	6087-6140
orf1815	152163-152195
orf1815-r	6051-6086
orf1816	152205-152291
orf1816-r	6015-6041
orf1817	152307-152369
orf1817-r	5964-6014
orf1818	152370-152438
orf1818-r	5898-5963
orf1819	152439-152609
orf1819-r	5853-5897
orf182	14487-14525
orf182-r	143232-143294
orf1820	152610-152660
orf1820-r	5697-5846
orf1821	152661-152684
orf1821-r	5619-5696
orf1822	152685-152735
orf1822-r	5511-5618
orf1823	152736-152843
orf1823-r	5436-5510
orf1824	152844-152960
orf1824-r	5379-5417
orf1825	152961-152984
orf1825-r	5259-5378
orf1826	152985-153032
orf1826-r	5211-5258
orf1827	153033-153089
orf1827-r	5175-5195
orf1828	153090-153212
orf1828-r	5052-5141
orf1829	153213-153245
orf1829-r	4992-5051
orf183	14541-14561
orf183-r	143139-143231
orf1830	153261-153323
orf1830-r	4947-4982
orf1831	153324-153374
orf1831-r	4833-4928
orf1832	153375-153437
orf1832-r	4788-4832
orf1833	153438-153497
orf1833-r	4716-4769
orf1834	153504-153557
orf1834-r	4599-4703
orf1835	153570-153602
orf1835-r	4548-4598
orf1836	153609-153686
orf1836-r	4467-4547
orf1837	153687-153716
orf1837-r	4251-4466
orf1838	153717-153740
orf1838-r	4134-4250
orf1839	153741-153773
orf1839-r	4038-4133
orf184	14574-14597
orf184-r	143100-143138
orf1840	153774-153815
orf1840-r	3990-4037
orf1841	153816-153857
orf1841-r	3927-3989
orf1842	153858-153944
orf1842-r	3843-3926
orf1843	153945-154097
orf1843-r	3759-3842
orf1844	154098-154118
orf1844-r	3726-3758
orf1845	154119-154145
orf1845-r	3672-3725
orf1846	154146-154235
orf1846-r	3576-3671
orf1847	154236-154256
orf1847-r	3474-3575
orf1848	154257-154316
orf1848-r	3393-3473
orf1849	154317-154340
orf1849-r	3312-3392
orf185	14598-14738
orf185-r	143046-143075
orf1850	154341-154457
orf1850-r	3276-3311
orf1851	154461-154547
orf1851-r	3234-3275
orf1852	154548-154577
orf1852-r	3147-3233
orf1853	154587-154616
orf1853-r	3087-3146
orf1854	154647-154667
orf1854-r	3039-3068
orf1855	154686-154712
orf1855-r	2931-3038
orf1856	154713-154754
orf1856-r	2907-2930
orf1857	154755-154871
orf1857-r	2829-2906
orf1858	154917-154940
orf1858-r	2808-2828
orf1859	154941-154982
orf1859-r	2787-2807
orf186	14757-14807
orf186-r	142932-143045
orf1860	154983-155018
orf1860-r	2565-2786
orf1861	155019-155174
orf1861-r	2529-2564
orf1862	155181-155255
orf1862-r	2466-2528
orf1863	155271-155324
orf1863-r	2334-2444
orf1864	155343-155531
orf1864-r	2253-2330
orf1865	155532-155552
orf1865-r	2199-2252
orf1866	155553-155582
orf1866-r	2118-2147
orf1867	155583-155603
orf1867-r	1929-2117
orf1868	155613-155642
orf1868-r	1848-1928
orf1869	155643-155669
orf1869-r	1794-1832
orf187	14808-14828
orf187-r	142884-142931
orf1870	155688-155720
orf1870-r	1707-1793
orf1871	155721-155762
orf1871-r	1683-1703
orf1872	155805-155972
orf1872-r	1647-1682
orf1873	155979-156137
orf1873-r	1587-1646
orf1874	156138-156161
orf1874-r	1269-1577
orf1875	156189-156245
orf1875-r	1173-1250
orf1876	156246-156284
orf1876-r	1095-1142
orf1877	156309-156344
orf1877-r	1050-1094
orf1878	156345-156398
orf1878-r	984-1031
orf1879	156414-156446
orf1879-r	891-983
orf188	14829-14852
orf188-r	142797-142883
orf1880	156447-156572
orf1880-r	816-890
orf1881	1-78
orf1881-r	789-815
orf1882	79-132
orf1882-r	681-788
orf1883	139-270
orf1883-r	636-680
orf1884	271-297
orf1884-r	609-635
orf1885	298-348
orf1885-r	558-608
orf1886	349-492
orf1886-r	501-551
orf1887	493-531
orf1887-r	411-488
orf1888	532-561
orf1888-r	384-410
orf1889	562-639
orf1889-r	318-383
orf189	14865-15023
orf189-r	142617-142796
orf1890	640-717
orf1890-r	294-314
orf1891	718-801
orf1891-r	267-293
orf1892	820-843
orf1892-r	240-266
orf1893	844-948
orf1893-r	219-239
orf1894	949-1038
orf1894-r	168-218
orf1895	1039-1146
orf1895-r	135-167
orf1896	1147-1254
orf1896-r	75-128
orf1897	1255-1314
orf1897-r	0-68
orf1898	1315-1344
orf1898-r	156542-156571
orf1899	1345-1440
orf1899-r	156518-156541
orf19	1239-1262
orf19-r	155274-155360
orf190	15024-15065
orf190-r	142542-142616
orf1900	1441-1656
orf1900-r	156254-156514
orf1901	1657-1698
orf1901-r	156173-156253
orf1902	1711-1758
orf1902-r	156149-156172
orf1903	1768-1836
orf1903-r	156068-156100
orf1904	1852-1956
orf1904-r	155759-156067
orf1905	1957-2025
orf1905-r	155684-155758
orf1906	2029-2154
orf1906-r	155645-155683
orf1907	2170-2202
orf1907-r	155579-155638
orf1908	2212-2244
orf1908-r	155528-155578
orf1909	2248-2355
orf1909-r	155426-155512
orf191	15066-15104
orf191-r	142389-142526
orf1910	2356-2418
orf1910-r	155258-155422
orf1911	2419-2532
orf1911-r	155102-155257
orf1912	2539-2568
orf1912-r	154961-155101
orf1913	2569-2616
orf1913-r	154913-154960
orf1914	2635-2712
orf1914-r	154865-154894
orf1915	2713-2790
orf1915-r	154823-154864
orf1916	2833-2856
orf1916-r	154784-154822
orf1917	2863-2910
orf1917-r	154733-154783
orf1918	2911-2955
orf1918-r	154709-154732
orf1919	2956-3072
orf1919-r	154601-154708
orf192	15144-15173
orf192-r	142344-142388
orf1920	3091-3150
orf1920-r	154487-154597
orf1921	3151-3195
orf1921-r	154454-154486
orf1922	3205-3237
orf1922-r	154424-154453
orf1923	3280-3321
orf1923-r	154391-154411
orf1924	3322-3387
orf1924-r	154355-154387
orf1925	3388-3579
orf1925-r	154307-154351
orf1926	3580-3675
orf1926-r	154253-154294
orf1927	3709-3831
orf1927-r	154232-154252
orf1928	3832-3957
orf1928-r	154187-154231
orf1929	3958-4005
orf1929-r	154124-154159
orf193	15174-15359
orf193-r	142263-142331
orf1930	4006-4047
orf1930-r	154055-154114
orf1931	4048-4077
orf1931-r	153941-154051
orf1932	4105-4140
orf1932-r	153893-153940
orf1933	4141-4170
orf1933-r	153851-153877
orf1934	4171-4203
orf1934-r	153671-153850
orf1935	4204-4284
orf1935-r	153638-153670
orf1936	4285-4350
orf1936-r	153554-153637
orf1937	4351-4440
orf1937-r	153470-153553
orf1938	4471-4560
orf1938-r	153431-153469
orf1939	4561-4641
orf1939-r	153383-153430
orf194	15360-15521
orf194-r	142218-142256
orf1940	4642-4695
orf1940-r	153332-153382
orf1941	4696-4761
orf1941-r	153257-153313
orf1942	4762-4827
orf1942-r	153197-153220
